SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
1018GS2026,GS,120,120,120,120,120,115,5,600,02-MAR-2024,1,IN0020010081,
182D270624,TB,97.5,97.5,97.5,97.5,97.5,97.5,100,9750,02-MAR-2024,1,IN002023Y409,
182D290824,TB,93,96.12,93,96.12,96.12,96.23,300,28512,02-MAR-2024,3,IN002023Y508,
20MICRONS,EQ,147.2,150.9,145,149.65,150,149.15,7651,1143416.9,02-MAR-2024,229,INE144J01027,
21STCENMGM,BE,48.45,48.45,48.45,48.45,48.45,49.4,1288,62403.6,02-MAR-2024,3,INE253B01015,
360ONE,EQ,735.8,735.8,718,726.85,730.8,731.7,12606,9123025.95,02-MAR-2024,979,INE466L01038,
364D090125,TB,93.42,93.42,93.42,93.42,93.42,93.42,100,9342,02-MAR-2024,1,IN002023Z430,
3IINFOLTD,EQ,49.45,50.05,48.1,49.25,49.45,49.15,250281,12354975.1,02-MAR-2024,1167,INE748C01038,
3MINDIA,EQ,31849.8,32000,31650,31837.7,31713,31714.35,116,3696191.35,02-MAR-2024,95,INE470A01017,
3PLAND,BE,33.05,34.6,32.25,33.15,32.25,33.05,2881,96815.6,02-MAR-2024,30,INE105C01023,
5PAISA,EQ,560,565,550,558.1,558.35,557.55,5829,3264937.4,02-MAR-2024,465,INE618L01018,
63MOONS,BE,480.05,487,473.15,478.75,478.9,475.25,16862,8078072.7,02-MAR-2024,329,INE111B01023,
667GS2050,GS,95.1,95.5,95.05,95.1,95.1,95.24,3934,374080.15,02-MAR-2024,5,IN0020200252,
68GS2060,GS,94.05,94.51,94.05,94.51,94.51,97.1,40,3771.2,02-MAR-2024,2,IN0020200187,
699GS2051,GS,100,100,100,100,100,100,5000,500000,02-MAR-2024,4,IN0020210194,
706GS2028,GS,102.6,102.6,102,102,102,102.6,500,51240,02-MAR-2024,2,IN0020230010,
718GS2037,GS,101.35,101.35,101.3,101.3,101.3,101.35,410,41553,02-MAR-2024,2,IN0020230077,
725GS2063,GS,102.6,102.6,102.6,102.6,102.6,103,100,10260,02-MAR-2024,1,IN0020230044,
726GS2032,GS,101.45,101.6,101.45,101.59,101.6,101.36,155719,15817336.1,02-MAR-2024,35,IN0020220060,
733GS2026,GS,102.05,102.65,102.05,102.65,102.65,103.42,200,20470,02-MAR-2024,2,IN0020230119,
737GS2028,GS,103,103.31,103,103.31,103.31,103.5,200,20631,02-MAR-2024,2,IN0020230101,
738GS2027,GS,102.52,102.6,102.48,102.49,102.48,102.47,89640,9193778.62,02-MAR-2024,29,IN0020220037,
73GS2053,GS,102.71,102.75,102.71,102.75,102.75,102.71,9700,996295,02-MAR-2024,3,IN0020230051,
741GS2036,GS,103.1,103.6,103.1,103.6,103.6,103.89,10500,1085850,02-MAR-2024,6,IN0020220102,
754GS2036,GS,103.55,105.8,103.55,105.7,105.71,105.71,15292,1615038.9,02-MAR-2024,14,IN0020220029,
77AP29A,SG,100,100,100,100,100,100,100,10000,02-MAR-2024,1,IN1020230620,
91D090524,TB,98.35,98.35,98.31,98.31,98.31,98.31,1000,98322,02-MAR-2024,3,IN002023X468,
91D110424,TB,98.75,98.75,98.75,98.75,98.75,98.75,100,9875,02-MAR-2024,1,IN002023X427,
91D140324,TB,99.6,99.6,99.6,99.6,99.6,99.6,5100,507960,02-MAR-2024,3,IN002023X385,
91D180424,TB,98.8,98.8,98.8,98.8,98.8,98.7,100,9880,02-MAR-2024,1,IN002023X435,
91D230524,TB,97,97,97,97,97,98.4,100,9700,02-MAR-2024,1,IN002023X492,
91D300524,TB,98,98,98,98,98,98.02,100,9800,02-MAR-2024,1,IN002023X518,
A2ZINFRA,BE,15.5,15.5,15.5,15.5,15.5,15.8,2596,40238,02-MAR-2024,13,INE619I01012,
AAATECH,BE,108,108,102.65,105.9,106.5,105.75,12586,1312737.3,02-MAR-2024,116,INE0D0U01013,
AAKASH,BE,10.2,10.2,10.2,10.2,10.2,10,8336,85027.2,02-MAR-2024,37,INE087Z01024,
AAREYDRUGS,BE,46,47.5,46,46.95,47.3,45.25,2989,139519.6,02-MAR-2024,40,INE198H01019,
AARON,EQ,289,294.45,283,291.25,289,280.45,39424,11427622.15,02-MAR-2024,875,INE721Z01010,
AARTECH,EQ,155.15,157.7,153.65,155.65,154.95,156.85,8732,1362189.15,02-MAR-2024,153,INE01C001018,
AARTIDRUGS,EQ,502.8,511,502.8,505.3,507.95,502.8,11366,5754889.05,02-MAR-2024,978,INE767A01016,
AARTIIND,EQ,674.9,680,666.15,675.3,676,673.25,92390,62467812.25,02-MAR-2024,3548,INE769A01020,
AARTIPHARM,EQ,498.5,499.9,490.05,491.5,491.3,493.45,10386,5113285.8,02-MAR-2024,882,INE0LRU01027,
AARTISURF,EQ,679,685.4,664.3,678.6,684.85,670.7,3660,2474895.45,02-MAR-2024,418,INE09EO01013,
AARVEEDEN,EQ,33.25,34.8,32.55,33.95,34.15,33.25,13727,466454.3,02-MAR-2024,166,INE273D01019,
AARVI,EQ,137.45,139,136.1,138.65,138.8,136.8,2105,289082.1,02-MAR-2024,52,INE754X01016,
AATMAJ,SM,39.1,39.1,38.85,38.85,38.85,39.25,6000,234000,02-MAR-2024,3,INE0OB201016,
AAVAS,EQ,1443.8,1457.45,1436.9,1454.35,1455,1436.9,9118,13207133.75,02-MAR-2024,1010,INE216P01012,
ABAN,BE,69,72.65,69,72.3,72.5,69.2,57859,4113964.05,02-MAR-2024,473,INE421A01028,
ABB,EQ,5485,5525,5480,5499.55,5482,5489.85,10430,57441304.2,02-MAR-2024,1978,INE117A01022,
ABBOTINDIA,EQ,28280,28493.15,27830.25,28181.95,28072,28216.65,2483,69774892.65,02-MAR-2024,1339,INE358A01014,
ABCAPITAL,EQ,187.15,188.25,185.15,186.75,186.35,187.1,306290,57155527,02-MAR-2024,3326,INE674K01013,
ABFRL,EQ,231,232.1,230.25,231.5,231.35,229.75,354136,81934456.3,02-MAR-2024,2847,INE647O01011,
ABINFRA,SM,60,60,60,60,60,59.95,4000,240000,02-MAR-2024,1,INE00YB01017,
ABMINTLLTD,EQ,58.45,58.45,57.8,57.8,57.8,56.95,8,464.1,02-MAR-2024,3,INE251C01025,
ABSLAMC,EQ,520,527.55,518,520.05,519.5,523.95,16906,8827769.3,02-MAR-2024,1058,INE404A01024,
ABSLBANETF,EQ,47.01,47.8,47.01,47.57,47.64,47.58,7559,359691.2,02-MAR-2024,157,INF209KB17D5,
ABSLLIQUID,EQ,1000,1000,999.99,1000,1000,1000,2009,2008991.86,02-MAR-2024,9,INF209KB18T9,
ABSLNN50ET,EQ,61.88,63.31,61.32,61.6,61.85,61.31,2478,153644.83,02-MAR-2024,64,INF209KB16D7,
ACC,EQ,2700.15,2720,2676.1,2702.55,2700,2695.45,30198,81732837.95,02-MAR-2024,1995,INE012A01025,
ACCELYA,EQ,1859.95,1895,1810,1889.85,1891,1834.25,4644,8651898.3,02-MAR-2024,646,INE793A01012,
ACCENTMIC,SM,276,276,270,271.65,272.45,276,14000,3801950,02-MAR-2024,14,INE0Q5D01013,
ACCURACY,BE,11.8,11.8,11.8,11.8,11.8,12,39223,462831.4,02-MAR-2024,86,INE648Z01023,
ACE,EQ,1439.7,1489.4,1439.7,1487.3,1489.4,1418.5,234665,347490887.35,02-MAR-2024,11259,INE731H01025,
ACEINTEG,EQ,38.35,38.35,36.25,37.5,37.45,36.75,747,27786.35,02-MAR-2024,21,INE543V01017,
ACI,EQ,738,746.5,731.55,742,740.05,731.3,56903,42156298.45,02-MAR-2024,2734,INE128X01021,
ACL,EQ,96.85,99.3,96.8,98.25,98.5,97,28201,2771640.05,02-MAR-2024,588,INE666E01020,
ACLGATI,EQ,117.8,117.8,116.05,117.2,117.5,116.35,40946,4792768.8,02-MAR-2024,678,INE152B01027,
ACSAL,SM,56.3,56.3,56,56,56,57.8,6000,336900,02-MAR-2024,2,INE0P4T01013,
ADANIENSOL,EQ,1078,1085.95,1074.55,1080.8,1083.8,1072.4,121612,131354013.35,02-MAR-2024,5401,INE931S01010,
ADANIENT,EQ,3332,3348.7,3321.5,3333.25,3332.5,3318.75,119511,398343988.75,02-MAR-2024,9160,INE423A01024,
ADANIGREEN,EQ,1969.9,1980.75,1946,1971.35,1971,1969.55,116094,228916954.5,02-MAR-2024,6903,INE364U01010,
ADANIPORTS,EQ,1326.9,1346.9,1325,1338.3,1336.15,1322.1,386697,517146854.6,02-MAR-2024,14243,INE742F01042,
ADANIPOWER,BE,557.5,557.8,553,555.8,555.4,554.15,141292,78478199.05,02-MAR-2024,3962,INE814H01011,
ADFFOODS,EQ,222.5,223.45,213.25,216.05,217,222.65,199902,43515634.8,02-MAR-2024,4221,INE982B01027,
ADORWELD,EQ,1469.7,1488,1421,1474.5,1474,1455.8,2306,3398815.3,02-MAR-2024,454,INE045A01017,
ADROITINFO,BE,17.85,18,16.75,17.2,17.4,17.5,18072,308924.1,02-MAR-2024,91,INE737B01033,
ADSL,EQ,154.8,158,153,156.05,156.9,152.45,76278,11927463.1,02-MAR-2024,1574,INE102I01027,
ADVANIHOTR,EQ,167.25,171,167,168.2,168.1,166.25,22391,3776531.05,02-MAR-2024,327,INE199C01026,
ADVENZYMES,EQ,386,397.3,384,393.2,393.5,383.9,16719,6544837.05,02-MAR-2024,980,INE837H01020,
AEGISCHEM,EQ,439.2,443,436,440.4,441,436.35,35085,15451811.65,02-MAR-2024,2030,INE208C01025,
AEROFLEX,EQ,145.45,146.4,145,145.85,146.4,144.4,56406,8223099.15,02-MAR-2024,1239,INE024001021,
