OLD_TICKER,NEW_TICKER,CHANGE_DATE
RDAXEDG,NDAXEDG,30-Oct-19
RDAXEDD,NDAXEDD,30-Oct-19
RDAXEDDG,NDAXEDDG,30-Oct-19
RDAXEDDD,NDAXEDDD,30-Oct-19
IIFLWAM,360ONE,23-Jan-23
BIRLA3M,3MINDIA,15-Jun-04
PDUMJEAGRO,PDUMJEIND,28-Mar-08
PDUMJEIND,3PLAND,04-May-18
FINANTECH,63MOONS,19-Jan-17
A2ZMES,A2ZINFRA,31-Dec-14
GAMMNINFRA,AJRINFRA,16-Aug-21
AMBANIORG,AMBANIORGO,01-Aug-24
AMDMET,AMDIND,25-Feb-08
IPAPPM,ANDPAPER,22-Jan-20
APPAPER,IPAPPM,21-Jan-14
ANDPAPER,ANDHRAPAP,05-Mar-20
ANGAUTO,ANGIND,16-Jun-10
ACSAL,ARVINDPORT,09-Dec-24
ATLANTA,ATLANTAA,15-Dec-23
ARIHANTCRE,ATNINT,17-Sep-03
AVONMPL,AVROIND,01-Nov-19
IT&T,AXIS-IT&T,16-Aug-05
AXIS-IT&T,AXISCADES,08-Oct-14
WELSYNTEX,AYMSYNTEX,03-Feb-16
ABANLOYD,ABAN,18-Aug-06
ABANLLOYD,ABANLOYD,17-Jan-05
AHL,AFSL,01-Apr-25
AML,ABHISHEK,26-Jun-08
KALECONSUL,ACCELYA,06-Sep-12
ADANITRANS,ADANIENSOL,24-Aug-23
ADANIEXPO,ADANIENT,20-Sep-06
MUNDRAPORT,ADANIPORTS,17-Jan-12
ADANIGAS,ATGL,13-Jan-21
BCCL,ABCIL,09-Mar-09
BIHARCAUST,BCCL,05-Dec-05
PFRL,ABFRL,29-Jan-16
APOLLOSIND,BIRLAMONEY,09-Sep-09
INDRAYON,ABIRLANUVO,07-Dec-05
CENTURYTEX,ABREL,10-Oct-24
ADVANIORLI,ADORWELD,27-Sep-04
ADORWELD,ADOR,11-Apr-25
SPHEREGSL,ADROITINFO,19-Apr-18
COLORCHIPS,SPHEREGSL,13-Oct-15
ARHAMFISCL,COLORCHIPS,04-Apr-06
RAMADHOTEL,ADVANIHOTR,25-Jun-07
AEGISCHEM,AEGISLOG,07-Jun-24
AFTEKINFO,AFTEK,27-Nov-06
ITCAGRO,ATFL,31-Dec-02
SHREE,AJMERA,23-Jun-09
ICI,AKZOINDIA,27-May-10
ALMBICHEM,ALEMBICLTD,22-Sep-99
ENKEI,ALICON,04-Mar-11
GLS,ALIVUS,20-Jan-25
GATI,ACLGATI,30-Nov-23
ALLSEC,ALLDIGI,27-Sep-24
AMARAJABAT,ARE&M,27-Oct-23
DLFCEMENT,AMBUJARAJN,20-Aug-01
GUJAMBCEM,AMBUJACEM,24-Jul-07
PDUMJEPULP,AMJLAND,19-Jan-18
ANGELBRKG,ANGELONE,11-Nov-21
MPGLYCEM,ANIKINDS,21-May-08
ANSALPROP,ANSALINFRA,27-Jan-06
