UKEY,ticker,Effective Date,Expiry Date
1,0IHFL26,01-01-1990,01-01-2100
2,0IHFL27,01-01-1990,01-01-2100
3,0MOFSL26,01-01-1990,01-01-2100
4,0MOFSL27,01-01-1990,01-01-2100
5,1003GS2019,01-01-1990,01-01-2100
6,1003ICCL28,01-01-1990,01-01-2100
7,1003IHF30A,01-01-1990,01-01-2100
8,1003IIFL29,01-01-1990,01-01-2100
9,1003ISFL28,01-01-1990,01-01-2100
10,1004DLSL24,01-01-1990,01-01-2100
11,1013DLSL24,01-01-1990,01-01-2100
12,1015ECL29,01-01-1990,01-01-2100
13,1015IHF28A,01-01-1990,01-01-2100
14,1015IHF28B,01-01-1990,01-01-2100
15,1015IHFL29,01-01-1990,01-01-2100
16,1015UCL24,01-01-1990,01-01-2100
17,1018GS2026,01-01-1990,01-01-2100
18,1025GS2021,01-01-1990,01-01-2100
19,1025ICCL26,01-01-1990,01-01-2100
20,1025IHF34,01-01-1990,01-01-2100
21,1025IHF34A,01-01-1990,01-01-2100
22,1025NFL25,01-01-1990,01-01-2100
23,1025UCL25,01-01-1990,01-01-2100
24,1030ICC26,01-01-1990,01-01-2100
25,1030ICCL28,01-01-1990,01-01-2100
26,1035UCL24,01-01-1990,01-01-2100
27,1035UCL26,01-01-1990,01-01-2100
28,1040NFL26,01-01-1990,01-01-2100
29,1040UCL25,01-01-1990,01-01-2100
30,1049DLS25A,01-01-1990,01-01-2100
31,1049DLSL25,01-01-1990,01-01-2100
32,1050IIFL29,01-01-1990,01-01-2100
33,1050ISFL28,01-01-1990,01-01-2100
34,1050NFL26,01-01-1990,01-01-2100
35,1050UCL25,01-01-1990,01-01-2100
36,1052DLSL24,01-01-1990,01-01-2100
37,105IIFL29,01-01-1990,01-01-2100
38,105UCL2026,01-01-1990,01-01-2100
39,1060ECL29,01-01-1990,01-01-2100
40,1061DLSL24,01-01-1990,01-01-2100
41,1065NFL27,01-01-1990,01-01-2100
42,1075IHF33A,01-01-1990,01-01-2100
43,1075IHF34,01-01-1990,01-01-2100
44,1075IHFL33,01-01-1990,01-01-2100
45,1075IHFL34,01-01-1990,01-01-2100
46,1075NFL25,01-01-1990,01-01-2100
47,1075UCL25,01-01-1990,01-01-2100
48,1090NFL26,01-01-1990,01-01-2100
49,10CAGL27,01-01-1990,01-01-2100
50,10IFSL26,01-01-1990,01-01-2100
51,10IHFL30A,01-01-1990,01-01-2100
52,10IIFL28,01-01-1990,01-01-2100
53,10IIFL28A,01-01-1990,01-01-2100
54,10IIFL29,01-01-1990,01-01-2100
55,10IIFLSF27,01-01-1990,01-01-2100
56,10ISFL26,01-01-1990,01-01-2100
57,10NFL25,01-01-1990,01-01-2100
58,10NIDO26,01-01-1990,01-01-2100
59,1102NFL26,01-01-1990,01-01-2100
60,1119NFL27,01-01-1990,01-01-2100
61,116GS2020,01-01-1990,01-01-2100
62,11DLSL25,01-01-1990,01-01-2100
63,11UCL26,01-01-1990,01-01-2100
64,182D010224,01-01-1990,01-01-2100
65,182D010623,01-01-1990,01-01-2100
66,182D010824,01-01-1990,01-01-2100
67,182D011124,01-01-1990,01-01-2100
68,182D020223,01-01-1990,01-01-2100
69,182D020323,01-01-1990,01-01-2100
70,182D020524,01-01-1990,01-01-2100
71,182D021123,01-01-1990,01-01-2100
72,182D030823,01-01-1990,01-01-2100
73,182D031024,01-01-1990,01-01-2100
74,182D040124,01-01-1990,01-01-2100
75,182D040424,01-01-1990,01-01-2100
76,182D040523,01-01-1990,01-01-2100
77,182D040724,01-01-1990,01-01-2100
78,182D050123,01-01-1990,01-01-2100
79,182D050924,01-01-1990,01-01-2100
80,182D051023,01-01-1990,01-01-2100
81,182D051224,01-01-1990,01-01-2100
82,182D060423,01-01-1990,01-01-2100
83,182D060624,01-01-1990,01-01-2100
84,182D060723,01-01-1990,01-01-2100
85,182D061022,01-01-1990,01-01-2100
86,182D070324,01-01-1990,01-01-2100
87,182D070923,01-01-1990,01-01-2100
88,182D071124,01-01-1990,01-01-2100
89,182D071223,01-01-1990,01-01-2100
90,182D080224,01-01-1990,01-01-2100
91,182D080623,01-01-1990,01-01-2100
92,182D080824,01-01-1990,01-01-2100
93,182D090223,01-01-1990,01-01-2100
94,182D090323,01-01-1990,01-01-2100
95,182D090524,01-01-1990,01-01-2100
96,182D091123,01-01-1990,01-01-2100
97,182D100823,01-01-1990,01-01-2100
98,182D110124,01-01-1990,01-01-2100
99,182D110424,01-01-1990,01-01-2100
100,182D110523,01-01-1990,01-01-2100
101,182D110724,01-01-1990,01-01-2100
102,182D111024,01-01-1990,01-01-2100
103,182D120123,01-01-1990,01-01-2100
104,182D120924,01-01-1990,01-01-2100
105,182D121023,01-01-1990,01-01-2100
106,182D121224,01-01-1990,01-01-2100
107,182D130423,01-01-1990,01-01-2100
108,182D130624,01-01-1990,01-01-2100
109,182D130723,01-01-1990,01-01-2100
110,182D140324,01-01-1990,01-01-2100
111,182D140923,01-01-1990,01-01-2100
112,182D141124,01-01-1990,01-01-2100
113,182D141223,01-01-1990,01-01-2100
114,182D150623,01-01-1990,01-01-2100
115,182D150824,01-01-1990,01-01-2100
116,182D151222,01-01-1990,01-01-2100
117,182D160224,01-01-1990,01-01-2100
118,182D160323,01-01-1990,01-01-2100
119,182D160524,01-01-1990,01-01-2100
120,182D161123,01-01-1990,01-01-2100
121,182D170823,01-01-1990,01-01-2100
122,182D180124,01-01-1990,01-01-2100
123,182D180424,01-01-1990,01-01-2100
124,182D180523,01-01-1990,01-01-2100
125,182D180724,01-01-1990,01-01-2100
126,182D181024,01-01-1990,01-01-2100
127,182D190924,01-01-1990,01-01-2100
128,182D191023,01-01-1990,01-01-2100
129,182D191224,01-01-1990,01-01-2100
130,182D200423,01-01-1990,01-01-2100
131,182D200624,01-01-1990,01-01-2100
132,182D200723,01-01-1990,01-01-2100
133,182D201022,01-01-1990,01-01-2100
134,182D210324,01-01-1990,01-01-2100
135,182D211223,01-01-1990,01-01-2100
136,182D220224,01-01-1990,01-01-2100
137,182D220623,01-01-1990,01-01-2100
138,182D220824,01-01-1990,01-01-2100
139,182D220923,01-01-1990,01-01-2100
140,182D221124,01-01-1990,01-01-2100
141,182D230223,01-01-1990,01-01-2100
142,182D230323,01-01-1990,01-01-2100
143,182D230524,01-01-1990,01-01-2100
144,182D231123,01-01-1990,01-01-2100
145,182D240823,01-01-1990,01-01-2100
146,182D241024,01-01-1990,01-01-2100
147,182D250124,01-01-1990,01-01-2100
148,182D250424,01-01-1990,01-01-2100
149,182D250523,01-01-1990,01-01-2100
150,182D250724,01-01-1990,01-01-2100
151,182D250822,01-01-1990,01-01-2100
152,182D260123,01-01-1990,01-01-2100
153,182D260924,01-01-1990,01-01-2100
154,182D261023,01-01-1990,01-01-2100
155,182D261224,01-01-1990,01-01-2100
156,182D270624,01-01-1990,01-01-2100
157,182D280723,01-01-1990,01-01-2100
158,182D281124,01-01-1990,01-01-2100
159,182D290224,01-01-1990,01-01-2100
160,182D290324,01-01-1990,01-01-2100
161,182D290623,01-01-1990,01-01-2100
162,182D290824,01-01-1990,01-01-2100
163,182D290922,01-01-1990,01-01-2100
164,182D290923,01-01-1990,01-01-2100
165,182D291222,01-01-1990,01-01-2100
166,182D291223,01-01-1990,01-01-2100
167,182D300323,01-01-1990,01-01-2100
168,182D300524,01-01-1990,01-01-2100
169,182D301123,01-01-1990,01-01-2100
170,182D310823,01-01-1990,01-01-2100
171,20MICRONS,01-01-1990,01-01-2100
172,21STCENMGM,01-01-1990,01-01-2100
174,364D010224,01-01-1990,01-01-2100
175,364D010623,01-01-1990,01-01-2100
176,364D010824,01-01-1990,01-01-2100
177,364D020125,01-01-1990,01-01-2100
178,364D020524,01-01-1990,01-01-2100
179,364D020525,01-01-1990,01-01-2100
180,364D021123,01-01-1990,01-01-2100
181,364D030425,01-01-1990,01-01-2100
182,364D030823,01-01-1990,01-01-2100
183,364D031024,01-01-1990,01-01-2100
184,364D040124,01-01-1990,01-01-2100
185,364D040424,01-01-1990,01-01-2100
186,364D040724,01-01-1990,01-01-2100
187,364D050625,01-01-1990,01-01-2100
188,364D050924,01-01-1990,01-01-2100
189,364D051023,01-01-1990,01-01-2100
190,364D051224,01-01-1990,01-01-2100
191,364D060225,01-01-1990,01-01-2100
192,364D060325,01-01-1990,01-01-2100
193,364D060624,01-01-1990,01-01-2100
194,364D060723,01-01-1990,01-01-2100
195,364D070324,01-01-1990,01-01-2100
196,364D070923,01-01-1990,01-01-2100
197,364D071124,01-01-1990,01-01-2100
198,364D071223,01-01-1990,01-01-2100
199,364D080224,01-01-1990,01-01-2100
200,364D080525,01-01-1990,01-01-2100
201,364D080623,01-01-1990,01-01-2100
202,364D080824,01-01-1990,01-01-2100
203,364D090125,01-01-1990,01-01-2100
204,364D090524,01-01-1990,01-01-2100
205,364D091123,01-01-1990,01-01-2100
206,364D100823,01-01-1990,01-01-2100
207,364D101024,01-01-1990,01-01-2100
208,364D110124,01-01-1990,01-01-2100
209,364D110424,01-01-1990,01-01-2100
210,364D110425,01-01-1990,01-01-2100
211,364D110523,01-01-1990,01-01-2100
212,364D110724,01-01-1990,01-01-2100
213,364D110822,01-01-1990,01-01-2100
214,364D120625,01-01-1990,01-01-2100
215,364D120924,01-01-1990,01-01-2100
216,364D121023,01-01-1990,01-01-2100
217,364D121224,01-01-1990,01-01-2100
218,364D130225,01-01-1990,01-01-2100
219,364D130325,01-01-1990,01-01-2100
220,364D130624,01-01-1990,01-01-2100
221,364D130723,01-01-1990,01-01-2100
222,364D140324,01-01-1990,01-01-2100
223,364D140923,01-01-1990,01-01-2100
224,364D141124,01-01-1990,01-01-2100
225,364D141223,01-01-1990,01-01-2100
226,364D150224,01-01-1990,01-01-2100
227,364D150525,01-01-1990,01-01-2100
228,364D150623,01-01-1990,01-01-2100
229,364D150721,01-01-1990,01-01-2100
230,364D160125,01-01-1990,01-01-2100
231,364D160524,01-01-1990,01-01-2100
232,364D160824,01-01-1990,01-01-2100
233,364D161123,01-01-1990,01-01-2100
234,364D170823,01-01-1990,01-01-2100
235,364D171024,01-01-1990,01-01-2100
236,364D180124,01-01-1990,01-01-2100
237,364D180424,01-01-1990,01-01-2100
238,364D180425,01-01-1990,01-01-2100
239,364D180523,01-01-1990,01-01-2100
240,364D180724,01-01-1990,01-01-2100
241,364D190625,01-01-1990,01-01-2100
242,364D190924,01-01-1990,01-01-2100
243,364D191023,01-01-1990,01-01-2100
244,364D191224,01-01-1990,01-01-2100
245,364D200225,01-01-1990,01-01-2100
246,364D200325,01-01-1990,01-01-2100
247,364D200423,01-01-1990,01-01-2100
248,364D200624,01-01-1990,01-01-2100
249,364D200723,01-01-1990,01-01-2100
250,364D210923,01-01-1990,01-01-2100
